bodyId,cell_type,kind,region,mean_rate,max_rate,rate_sd,fraction_frames_active,geometry_displayed
10072,IN17A001,CPG,T2,4.0882954597473145,10.384947776794434,3.0113375186920166,0.8174305033809166,True
10093,DNg100,DN,neck connective,27.613750457763672,27.67278480529785,0.03123624622821808,1.0,False
10339,DNg100,DN,neck connective,26.893360137939453,26.9688720703125,0.030076060444116592,1.0,False
10347,Ti extensor MN,MN,T3,0.0,0.0,0.0,0.0,True
10461,Ti extensor MN,MN,T2,1.8731756210327148,5.232741355895996,1.630408763885498,0.5537190082644629,True
10462,Ti extensor MN,MN,T3,1.1798737049102783,1.9407776594161987,0.28396937251091003,0.6513899323816679,True
10498,IN17A001,CPG,T3,6.105931758880615,8.261149406433105,1.5991538763046265,1.0,True
10558,IN17A001,CPG,T3,6.786050796508789,8.052033424377441,0.45669615268707275,1.0,True
10559,IN17A001,CPG,T2,4.030431747436523,7.93836784362793,2.406548023223877,0.903831705484598,True
10690,IN17A001,CPG,T1,6.559040546417236,11.231972694396973,2.968148708343506,1.0,True
10707,IN17A001,CPG,T1,6.752115249633789,9.428522109985352,1.3921988010406494,1.0,True
10710,Ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
10737,Ti extensor MN,MN,T2,0.0,0.0,0.0,0.0,True
10811,ltm1-tibia MN,MN,T3,0.0,0.0,0.0,0.0,True
10866,Tr extensor MN,MN,T3,0.0,0.0,0.0,0.0,True
10968,MNhl68,MN,T3,0.0,0.0,0.0,0.0,True
11022,Sternal anterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
11115,Ti extensor MN,MN,T2,0.0,0.0,0.0,0.0,True
11226,Fe reductor MN,MN,T1,0.0,0.0,0.0,0.0,True
11274,MNhl02,MN,T3,0.0,0.0,0.0,0.0,True
11400,Sternal posterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
11480,MNhl67,MN,T3,0.34501415491104126,0.41178783774375916,0.02950216270983219,0.0,True
11489,Ti extensor MN,MN,T2,2.267854928970337,2.8958420753479004,0.319629430770874,1.0,True
11529,Sternal posterior rotator MN,MN,T2,0.0,0.0,0.0,0.0,True
11562,Sternal anterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
11657,Ti extensor MN,MN,T1,0.0,0.0,0.0,0.0,True
11706,Ti extensor MN,MN,T1,0.8847492933273315,2.5814895629882812,0.8094601631164551,0.3884297520661157,True
11751,INXXX466,CPG,T1,10.567907333374023,15.228546142578125,2.962127685546875,1.0,True
11767,INXXX466,CPG,T2,4.970160961151123,12.772970199584961,4.131441116333008,0.7956423741547709,True
11786,ltm MN,MN,T1,0.02840949222445488,0.2833101749420166,0.03875846415758133,0.0,True
11809,MNhl59,MN,T3,0.0,0.0,0.0,0.0,True
11813,MNhl02,MN,T3,0.0,0.0,0.0,0.0,True
12096,Pleural remotor/abductor MN,MN,T1,0.0,0.0,0.0,0.0,True
12107,INXXX466,CPG,T2,6.3328351974487305,21.050994873046875,6.374161243438721,0.7407963936889557,True
12113,Fe reductor MN,MN,T3,0.0,0.0,0.0,0.0,True
12134,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
12196,MNml29,MN,T2,0.0,0.0,0.0,0.0,True
12315,INXXX466,CPG,T3,9.327109336853027,14.30443000793457,3.4975979328155518,1.0,True
12396,Tergopleural/Pleural promotor MN,MN,T1,0.0,0.0,0.0,0.0,True
12474,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
12504,MNhl67,MN,T3,1.7694618701934814,1.8598566055297852,0.03277956694364548,1.0,True
12585,Ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
12628,Tergopleural/Pleural promotor MN,MN,T1,1.791565179824829,4.129179954528809,1.2808057069778442,0.608564988730278,True
12686,Tergopleural/Pleural promotor MN,MN,T1,6.8830485343933105,8.777867317199707,0.980343222618103,1.0,True
12693,ltm MN,MN,T2,0.0,0.0,0.0,0.0,True
12704,Ti extensor MN,MN,T1,0.0,0.0,0.0,0.0,True
12725,Acc. ti flexor MN,MN,T3,2.577826499938965,2.740877628326416,0.06082983687520027,1.0,True
12758,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
12759,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
12761,Acc. ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
12800,MNhl66,MN,T3,0.0,0.0,0.0,0.0,True
12891,Fe reductor MN,MN,T1,0.0,0.0,0.0,0.0,True
12953,IN16B036,CPG,T3,0.9639862179756165,2.438196897506714,0.8065889477729797,0.40345604808414726,True
13006,Ti extensor MN,MN,T3,0.0,0.0,0.0,0.0,True
13033,ltm MN,MN,T2,0.0,0.0,0.0,0.0,True
13036,MNml81,MN,T2,0.0,0.0,0.0,0.0,True
13069,Sternotrochanter MN,MN,T3,0.0,0.0,0.0,0.0,True
13075,Ti extensor MN,MN,T3,0.0,0.0,0.0,0.0,True
13095,MNhl66,MN,T3,0.0,0.0,0.0,0.0,True
13115,Ti extensor MN,MN,T1,0.0,0.0,0.0,0.0,True
13144,MNhl65,MN,T3,0.0,0.0,0.0,0.0,True
13156,ltm MN,MN,T1,0.0,0.0,0.0,0.0,True
13163,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
13170,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
13186,IN16B036,CPG,T2,5.250862121582031,12.840476989746094,4.1853837966918945,0.8302028549962435,True
13192,Ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
13241,ltm1-tibia MN,MN,T3,0.23760820925235748,0.7089893221855164,0.15387018024921417,0.0,True
13280,Ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
13283,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
13300,Sternal anterior rotator MN,MN,T1,0.0,0.0,0.0,0.0,True
13311,Ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
13397,Acc. ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
13399,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
13434,Tergotr. MN,MN,T3,0.5655269622802734,0.9664967060089111,0.14908255636692047,0.0,True
13464,Tergopleural/Pleural promotor MN,MN,T1,0.0,0.0,0.0,0.0,True
13490,Tergopleural/Pleural promotor MN,MN,T1,0.0,0.0,0.0,0.0,True
13512,MNhl68,MN,T3,0.0,0.0,0.0,0.0,True
13543,MNhl59,MN,T3,0.540722131729126,0.590768575668335,0.019422408193349838,0.0,True
13563,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
13628,Pleural remotor/abductor MN,MN,T1,0.0,0.0,0.0,0.0,True
13698,INXXX466,CPG,T1,12.489029884338379,23.372467041015625,6.718973636627197,1.0,True
13740,MNhl64,MN,T3,0.0,0.0,0.0,0.0,True
13746,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
13784,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
13817,Sternal adductor MN,MN,T2,0.0,0.0,0.0,0.0,True
13819,Acc. ti flexor MN,MN,T1,0.6240399479866028,0.7323296666145325,0.06368900835514069,0.0,True
13883,MNhl88,MN,T3,0.0,0.0,0.0,0.0,True
13904,Tr extensor MN,MN,T2,0.0,0.0,0.0,0.0,True
13905,IN16B036,CPG,T1,1.9972518682479858,4.60568380355835,1.2114536762237549,0.6912096168294516,True
13920,Fe reductor MN,MN,T1,0.0,0.0,0.0,0.0,True
13942,Sternal posterior rotator MN,MN,T1,0.0,0.0,0.0,0.0,True
13952,ltm1-tibia MN,MN,T1,0.0,0.0,0.0,0.0,True
14020,Fe reductor MN,MN,T3,0.0,0.0,0.0,0.0,True
14069,ltm MN,MN,T1,0.0,0.0,0.0,0.0,True
14096,IN16B036,CPG,T1,3.303229331970215,7.837942123413086,2.3383171558380127,0.7693463561232157,True
14168,Pleural remotor/abductor MN,MN,T3,0.0,0.0,0.0,0.0,True
14226,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
14339,MNhl68,MN,T3,0.0,0.0,0.0,0.0,True
14343,ltm2-femur MN,MN,T3,0.0,0.0,0.0,0.0,True
