experiment_id,condition,variant,metric,n,n_seeds,n_sequences,n_connectome_instances,mean,median,sd,ci_low,ci_high
A2,up_small,full,timing_jitter_s,8,8,3,1,0.005805668252853073,0.0061384795106828845,0.0020175448885852774,0.004437866393764894,0.007014319547670399
A2,up_small,full,misses,8,8,3,1,5.25,5.5,1.6690459207925603,4.125,6.25
A2,up_small,full,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_small,full,energy_proxy,8,8,3,1,36.92010021209717,34.826189041137695,11.073840153262736,30.007469367980956,44.5066598892212
A2,up_small,full,joint_velocity_rms,8,8,3,1,0.6224097236990929,0.6085421144962311,0.09347942495779317,0.5634331747889518,0.6859941506758332
A2,up_small,no_cpg,motor_rhythm_power,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_small,no_cpg,motor_frequency_hz,0,8,3,1,,,,,
A2,up_small,no_cpg,oscillating_mn_fraction,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_small,no_cpg,key_accuracy,8,8,3,1,0.32291666666666663,0.3333333333333333,0.16925080009658253,0.21875,0.4375
A2,up_small,no_cpg,precision,8,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,up_small,no_cpg,timing_mae_s,8,8,3,1,0.11308333333333317,0.1127499999999999,0.0016183471874254287,0.11206249999999982,0.11422916666666647
A2,up_small,no_cpg,timing_jitter_s,7,8,3,1,0.0033553227338479876,0.003932768321000689,0.0012013417588066415,0.0024729527829627515,0.004076180676490864
A2,up_small,no_cpg,misses,8,8,3,1,8.125,8.0,2.03100960115899,6.75,9.375
A2,up_small,no_cpg,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_small,no_cpg,energy_proxy,8,8,3,1,30.615864992141724,27.352234840393066,12.615817795548542,23.051138877868652,39.228763353824625
A2,up_small,no_cpg,joint_velocity_rms,8,8,3,1,0.5639091059565544,0.540986955165863,0.11511339938003162,0.4935220368206501,0.641431912779808
A2,up_small,no_feedback,motor_rhythm_power,8,8,3,1,0.6874196976423264,0.6777780055999756,0.06610769207146365,0.6428239250555634,0.7285092340782284
A2,up_small,no_feedback,motor_frequency_hz,8,8,3,1,8.97248220784526,8.907828282828284,0.1962939907177608,8.858812156491386,9.117107658285853
A2,up_small,no_feedback,oscillating_mn_fraction,8,8,3,1,0.04049744897959184,0.042091836734693876,0.00968404250203878,0.03443877551020408,0.046875
A2,up_small,no_feedback,key_accuracy,8,8,3,1,0.5625,0.5416666666666667,0.1390871600660467,0.47916666666666663,0.65625
A2,up_small,no_feedback,precision,8,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,up_small,no_feedback,timing_mae_s,8,8,3,1,0.109375992063492,0.1094444444444444,0.0028145315092441003,0.10749404761904759,0.11113405257936497
A2,up_small,no_feedback,timing_jitter_s,8,8,3,1,0.005739698055334563,0.005641655964815732,0.0022823172085962317,0.004301692980821264,0.007219056719199419
A2,up_small,no_feedback,misses,8,8,3,1,5.25,5.5,1.6690459207925603,4.125,6.25
A2,up_small,no_feedback,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_small,no_feedback,energy_proxy,8,8,3,1,36.863911390304565,34.82181167602539,11.01554377411472,29.97073076367378,44.419491487741475
A2,up_small,no_feedback,joint_velocity_rms,8,8,3,1,0.6222858428955078,0.6087968051433563,0.09325117775906953,0.5633696993812919,0.685657562687993
A3,interruption,full,motor_rhythm_power,8,8,3,1,0.7109224237501621,0.7254217267036438,0.1020531349681851,0.6351002421230078,0.7696267206221818
A3,interruption,full,motor_frequency_hz,8,8,3,1,8.79464094932845,8.770032051282051,0.30754258737459583,8.591689560439562,8.998763020833334
A3,interruption,full,oscillating_mn_fraction,8,8,3,1,0.02519132653061224,0.02423469387755102,0.007645465132072612,0.020089285714285712,0.02998246173469391
A3,interruption,full,key_accuracy,8,8,3,1,0.42708333333333337,0.45833333333333337,0.18600595228571123,0.2916666666666667,0.5208333333333334
A3,interruption,full,precision,8,8,3,1,0.875,1.0,0.3535533905932738,0.625,1.0
A3,interruption,full,timing_mae_s,7,8,3,1,0.11234557823129245,0.11314285714285711,0.002593961907196348,0.11047891156462575,0.1140244897959183
A3,interruption,full,timing_jitter_s,7,8,3,1,0.003942299375583049,0.0032366943748503916,0.0023055600808571043,0.0025708613724951743,0.005647648576972448
A3,interruption,full,misses,8,8,3,1,6.875,6.5,2.2320714274285347,5.75,8.5
A3,interruption,full,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A3,interruption,full,energy_proxy,8,8,3,1,29.538006067276,28.404224395751953,6.748056116165853,25.217898297309876,33.93979358673096
A3,interruption,full,joint_velocity_rms,8,8,3,1,0.5579862222075462,0.551459550857544,0.06495959212098738,0.5165928155183792,0.5994455553591251
A3,interruption,no_cpg,motor_rhythm_power,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A3,interruption,no_cpg,motor_frequency_hz,0,8,3,1,,,,,
A3,interruption,no_cpg,oscillating_mn_fraction,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A3,interruption,no_cpg,key_accuracy,8,8,3,1,0.15625,0.041666666666666664,0.19638347245623358,0.041666666666666664,0.2916666666666667
A3,interruption,no_cpg,precision,8,8,3,1,0.5,0.5,0.5345224838248488,0.125,0.875
A3,interruption,no_cpg,timing_mae_s,4,8,3,1,0.11357499999999994,0.11419999999999994,0.001396125591294286,0.11222499999999991,0.11440000000000002
A3,interruption,no_cpg,timing_jitter_s,3,8,3,1,0.0030234239145039963,0.0035777087639996172,0.0009600495211920833,0.0019148542155127551,0.0035777087639996172
A3,interruption,no_cpg,misses,8,8,3,1,10.125,11.5,2.356601669474803,8.5,11.5
A3,interruption,no_cpg,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A3,interruption,no_cpg,energy_proxy,8,8,3,1,23.384793043136597,19.479955673217773,8.520451687850173,18.386736154556274,29.40972661972046
A3,interruption,no_cpg,joint_velocity_rms,8,8,3,1,0.49448150396347046,0.45805618166923523,0.0874869911837879,0.44264576956629753,0.554120909422636
A3,interruption,no_feedback,motor_rhythm_power,8,8,3,1,0.7137243449687958,0.7432694435119629,0.0930467820451096,0.6470321392640471,0.7654744483530521
A3,interruption,no_feedback,motor_frequency_hz,8,8,3,1,8.79776594932845,8.770032051282051,0.3056940414571882,8.595502232142856,9.001888020833334
A3,interruption,no_feedback,oscillating_mn_fraction,8,8,3,1,0.02519132653061224,0.02423469387755102,0.007645465132072612,0.020089285714285712,0.02998246173469391
A3,interruption,no_feedback,key_accuracy,8,8,3,1,0.42708333333333337,0.45833333333333337,0.18600595228571123,0.2916666666666667,0.5208333333333334
A3,interruption,no_feedback,precision,8,8,3,1,0.875,1.0,0.3535533905932738,0.625,1.0
A3,interruption,no_feedback,timing_mae_s,7,8,3,1,0.11248843537414958,0.11314285714285711,0.0027649939717778005,0.11052513605442169,0.11431564625850339
A3,interruption,no_feedback,timing_jitter_s,7,8,3,1,0.00417442201978768,0.0032366943748503916,0.0025529433957261253,0.00257902127253489,0.006020471674718655
A3,interruption,no_feedback,misses,8,8,3,1,6.875,6.5,2.2320714274285347,5.75,8.5
A3,interruption,no_feedback,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A3,interruption,no_feedback,energy_proxy,8,8,3,1,29.543746948242188,28.403276443481445,6.764818919350143,25.220867395401,33.95568513870239
A3,interruption,no_feedback,joint_velocity_rms,8,8,3,1,0.5579560808837414,0.5514146387577057,0.06493160793470813,0.5165928676724434,0.5995151969604194
A4,delayed,full,motor_rhythm_power,8,8,3,1,0.7051868513226509,0.7240465879440308,0.087382658280964,0.6443739980459213,0.7541649233549833
A4,delayed,full,motor_frequency_hz,8,8,3,1,8.79776594932845,8.770032051282051,0.3056940414571882,8.595502232142856,9.001888020833334
A4,delayed,full,oscillating_mn_fraction,8,8,3,1,0.02519132653061224,0.02423469387755102,0.007645465132072612,0.020089285714285712,0.02998246173469391
