experiment_id,condition,comparison,metric,n_pairs,mean_difference,ci_low,ci_high,cohens_dz,p_raw,test,p_holm
A5,late,full - no_dn,motor_rhythm_power,8,0.7205547466874123,0.6525498263537883,0.7690844312310219,7.718642126938856,1.067754614124963e-07,paired two-sided t; descriptive at small n,1.8151828440124372e-05
A5,late,full - no_dn,key_accuracy,8,0.4166666666666667,0.3125,0.5,2.7003086243366083,0.00012239578027890596,paired two-sided t; descriptive at small n,0.016768221898210117
A5,left_bias,full - no_dn,motor_rhythm_power,8,0.7377928197383881,0.6510456060990691,0.8268356923013926,5.36291231015108,1.302116533088209e-06,paired two-sided t; descriptive at small n,0.00019792171302940778
A5,left_bias,full - no_dn,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A5,strong,full - no_dn,motor_rhythm_power,8,0.6640029698610306,0.6069905202835798,0.7270424930378795,6.999650362730407,2.096546918787654e-07,paired two-sided t; descriptive at small n,3.501233354375382e-05
A5,strong,full - no_dn,key_accuracy,8,0.625,0.5416666666666667,0.7083333333333334,4.677071733467426,3.297071338230569e-06,paired two-sided t; descriptive at small n,0.0004879665580581242
A5,weak,full - no_dn,motor_rhythm_power,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A5,weak,full - no_dn,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - direct,motor_rhythm_power,8,-0.008000779896974564,-0.023003363516181707,0.0026523337699472923,-0.39133289206722216,0.3049364772726522,paired two-sided t; descriptive at small n,1.0
B1,novel,full - direct,key_accuracy,8,-0.39583333333333326,-0.5520833333333333,-0.26041666666666663,-1.718168444518266,0.0018357555163832247,paired two-sided t; descriptive at small n,0.2239621729987534
B1,novel,full - direct,timing_mae_s,8,0.017431006493506554,0.013878591720779222,0.02031755050505045,3.4574348657019853,2.4783634744234173e-05,paired two-sided t; descriptive at small n,0.0034944924989370185
B1,novel,full - hand_cpg,motor_rhythm_power,8,-0.00020757317543029785,-0.0020137354731559753,0.0012321300804615022,-0.08163990866004425,0.8239866658863818,paired two-sided t; descriptive at small n,1.0
B1,novel,full - hand_cpg,key_accuracy,8,-0.46874999999999994,-0.6145833333333333,-0.35416666666666663,-2.2467925856822926,0.0003834312240715919,paired two-sided t; descriptive at small n,0.05022949035337841
B1,novel,full - hand_cpg,timing_mae_s,8,0.012752976190476285,0.012124950396825512,0.013357142857143086,13.199078201960365,2.572678803797181e-09,paired two-sided t; descriptive at small n,4.68227542291087e-07
B1,novel,full - no_body_mapping,motor_rhythm_power,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_body_mapping,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_body_mapping,timing_mae_s,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
